_c0,_c1,_c2,_c3,_c4,_c5,_c6,_c7,_c8,_c9,_c10,_c11,_c12,_c13,_c14,Time dependent15,Time dependent16,_c17,_c18,Time dependent19,Time dependent20,_c21,_c22,Time dependent23,Independent24,_c25,_c26,Independent27,_c28,_c29,Independent30,Independent31,Independent32,Independent33,Independent34,Independent35,Independent36,Independent37,Independent38,Independent39,Independent40,_c41,_c42
null,null,null,null,null,null,null,null,null,null,null,14,Project-L-16,0.64,0.64,0.64,0.65,0.64,0.64,0.64,1.01,0.57,0.57,0.57,0.12,0.98,0.98,0.98,1.12,1.12,1.12,0.91,0.81,1.01,1.01591601760921,"4,774",13,"145,377,589",1.31,102,73.17,0.409035409035409,0.9863298441056
null,null,null,null,null,null,null,null,null,null,null,15,Project-L-17,0.68,0.68,0.68,0.70,0.69,0.69,0.69,1.01,0.62,0.62,0.62,0.13,0.98,0.98,0.98,1.11,1.11,1.11,1,0.9,1.01,1.01964104300711,"4,774",13,"145,377,589",1.34,102,73.55,0.371184371184371,0.9932976090284
null,null,null,null,null,null,null,null,null,null,null,16,Project-L-18,0.72,0.72,0.72,0.75,0.74,0.73,0.73,1.01,0.65,0.65,0.65,0.14,0.98,0.98,0.98,1.12,1.12,1.12,0.95,0.85,1.01,1.02742973247545,"4,774",13,"145,377,589",-0.32,102,74.34,0.333333333333333,0.99029729234
null,null,null,null,null,null,null,null,null,null,null,17,Project-L-19,0.75,0.75,0.75,0.78,0.73,0.76,0.75,0.96,0.69,0.71,0.70,0.15,0.98,0.98,0.98,1.07,1.07,1.07,0.91,0.85,0.96,1.02861496782933,"4,774",13,"145,377,589",0.0299999999999998,102,74.34,0.296703296703297,0.9598465164484
null,null,null,null,null,null,null,null,null,null,null,18,Project-L-20,0.79,0.79,0.79,0.81,0.80,0.83,0.81,0.96,0.74,0.77,0.75,0.15,1.02,1.02,1.02,1.08,1.08,1.08,0.98,0.91,0.96,1.02565187944463,"4,774",13,"145,377,589",0.38,102,73.98,0.258852258852259,0.9657285778988
null,null,null,null,null,null,null,null,null,null,null,19,Project-L-21,0.83,0.83,0.83,0.88,0.83,0.86,0.85,0.96,0.76,0.79,0.77,0.16,0.98,0.98,0.98,1.09,1.09,1.09,1.08,0.99,0.96,1.02599051811717,"4,774",13,"145,377,589",0.78,102,73.97,0.222222222222222,0.9497164221156
null,null,null,null,null,null,null,null,null,null,null,20,Project-L-22,0.87,0.87,0.87,0.91,0.87,0.91,0.89,0.96,0.80,0.83,0.81,0.16,0.99,0.99,0.99,1.09,1.09,1.09,1.08,0.99,0.96,1.03013884185574,"4,774",13,"145,377,589",-0.51,101.91,74.37,0.184371184371184,0.9519097672396
null,null,null,null,null,null,null,null,null,null,null,21,Project-L-23,0.90,0.90,0.90,0.93,0.89,0.93,0.91,0.96,0.81,0.85,0.83,0.16,1.00,1.00,1.00,1.10,1.10,1.10,1.11,1.01,0.96,1.03530308161192,"4,774",13,"145,377,589",-1.61,101.91,74.88,0.148962148962149,0.9398655902304
null,null,null,null,null,null,null,null,null,null,null,22,Project-L-24,0.94,0.94,0.94,0.95,0.91,0.95,0.93,0.96,0.85,0.88,0.86,0.17,1.00,1.00,1.00,1.08,1.08,1.08,1.11,1.03,0.96,1.04698611581443,"4,774",13,"145,377,589",0.89,101.91,75.99,0.112332112332112,0.9457599567184
null,null,null,null,null,null,null,null,null,null,null,23,Project-L-25,0.98,0.98,0.98,0.97,0.93,0.97,0.95,0.96,0.83,0.86,0.84,0.19,1.00,1.00,1.00,1.13,1.13,1.13,1.14,1.01,0.96,1.06696579749407,"4,774",13,"145,377,589",-0.77,102.6,78.02,0.0744810744810745,0.893921172838
null,null,null,null,null,null,null,null,null,null,null,24,Project-L-26,1.01,1.01,1.01,0.99,0.95,0.99,0.97,0.96,0.88,0.91,0.90,0.20,1.00,1.00,1.00,1.08,1.08,1.08,1.07,0.99,0.96,1.09947511005757,"4,774",13,"145,377,589",0.97,102.6,81.26,0.0378510378510378,0.928130941208
null,null,null,null,null,null,null,null,null,null,null,25,Project-L-27,1.05,1.05,1.05,1.00,0.96,1.00,0.98,0.96,0.89,0.92,0.90,0.21,1.00,1.00,1.00,1.09,1.09,1.09,1.06,0.98,0.96,1.10878767355232,"4,774",13,"145,377,589",-0.2,102.6,82.11,0,0.9101165745956
null,null,null,null,null,null,null,null,null,null,null,26,Project-L-28,1.09,1.09,1.09,1.00,0.96,1.00,0.98,0.96,0.89,0.92,0.91,0.22,1.00,1.00,1.00,1.08,1.08,1.08,1.06,0.98,0.96,1.11276667795462,"4,774",13,"145,377,589",1.42,110.71,82.47,null,0.89312170006476
null,null,null,null,null,null,null,null,null,null,null,27,Project-L-29,1.12,1.12,1.12,1.00,0.96,1.00,0.98,0.96,0.92,0.95,0.93,0.23,1.00,1.00,1.00,1.05,1.05,1.05,1.03,0.98,0.96,1.11259735861835,"4,774",13,"145,377,589",2.34,110.71,82.37,null,0.90259994162292
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
H,"6,352",4,11,15,1,2004-03-05,2006-02-18,715,"202,241,810",31,1,Project-K-1,0.03,0.03,0.03,0.02,0.02,0.02,0.02,1.00,0.00,0.00,0.00,0.01,1.00,1.00,1.00,1.00,7.21,4.11,0,0,1,1,"6,352",15,"202,241,810",-0.37,108.95,75.73,1.06603773584906,0.8677484064104
null,null,null,null,null,null,null,null,null,null,null,2,Project-K-2,0.08,0.08,0.08,0.03,0.03,0.03,0.03,1.00,0.03,0.03,0.03,0.02,1.00,1.00,1.00,0.76,0.76,0.76,0,0,1,0.992031545223035,"6,352",15,"202,241,810",0.11,108.95,74.84,1.02425876010782,0.9022255214016
null,null,null,null,null,null,null,null,null,null,null,3,Project-K-3,0.12,0.12,0.12,0.09,0.06,0.06,0.06,1.00,0.06,0.06,0.06,0.03,0.69,0.69,0.69,1.00,1.00,1.00,0,0,1,0.9850488786659,"6,352",15,"202,241,810",1.2,108.95,74.06,0.983827493261456,0.9405821566056
null,null,null,null,null,null,null,null,null,null,null,4,Project-K-4,0.16,0.16,0.16,0.14,0.11,0.11,0.11,1.00,0.09,0.09,0.09,0.04,0.81,0.81,0.81,1.19,1.19,1.19,0.58,0.49,1,0.978148361127084,"6,352",15,"202,241,810",0.15,108.95,73.27,0.942048517520216,0.9598379964316
null,null,null,null,null,null,null,null,null,null,null,5,Project-K-5,0.20,0.20,0.20,0.18,0.17,0.17,0.17,1.00,0.13,0.14,0.13,0.04,0.92,0.92,0.92,1.25,1.22,1.24,0.83,0.67,1,0.99679618828555,"6,352",15,"202,241,810",1.2,108.95,74.96,0.901617250673854,0.9456779558064
null,null,null,null,null,null,null,null,null,null,null,6,Project-K-6,0.24,0.24,0.24,0.20,0.19,0.19,0.19,1.00,0.17,0.17,0.17,0.06,0.96,0.96,0.96,1.16,1.13,1.15,0.66,0.57,1,1.00821490183192,"6,352",15,"202,241,810",1.64,108.95,76.15,0.859838274932615,0.9484140776732
null,null,null,null,null,null,null,null,null,null,null,7,Project-K-7,0.28,0.28,0.28,0.22,0.21,0.21,0.21,1.00,0.20,0.20,0.20,0.08,0.98,0.98,0.98,1.06,1.04,1.05,0.93,0.87,1,1.00706481557545,"6,352",15,"202,241,810",-0.78,108.95,76.03,0.818059299191375,0.9614014266712
null,null,null,null,null,null,null,null,null,null,null,8,Project-K-8,0.32,0.32,0.32,0.24,0.24,0.24,0.24,1.00,0.23,0.24,0.23,0.08,1.00,1.00,1.00,1.04,1.02,1.03,0.8,0.76,1,1.01396533311427,"6,352",15,"202,241,810",1.56,108.95,76.75,0.777628032345013,0.9631263614812
null,null,null,null,null,null,null,null,null,null,null,9,Project-K-9,0.36,0.36,0.36,0.27,0.26,0.26,0.26,1.03,0.26,0.26,0.26,0.08,0.96,0.96,0.96,1.03,1.00,1.02,0.88,0.86,1.03,1.0068183685205,"6,352",15,"202,241,810",0.0800000000000001,108.95,75.98,0.735849056603774,0.9987860091128
null,null,null,null,null,null,null,null,null,null,null,10,Project-K-10,0.40,0.40,0.40,0.30,0.31,0.30,0.30,1.03,0.31,0.30,0.31,0.09,1.00,1.00,1.00,1.00,0.98,0.99,0.87,0.88,1.03,1.00106793723815,"6,352",15,"202,241,810",1.51,108.95,75.2,0.695417789757412,1.003558231682
null,null,null,null,null,null,null,null,null,null,null,11,Project-K-11,0.45,0.45,0.45,0.33,0.33,0.33,0.33,1.03,0.35,0.35,0.35,0.09,1.00,1.00,1.00,0.95,0.93,0.94,0.87,0.92,1.03,0.996138996138996,"6,352",15,"202,241,810",-0.22,102,74.6,0.653638814016173,1.0200119240516
null,null,null,null,null,null,null,null,null,null,null,12,Project-K-12,0.49,0.49,0.49,0.35,0.36,0.35,0.35,1.03,0.36,0.36,0.36,0.11,1.00,1.00,1.00,0.99,0.97,0.98,0.92,0.93,1.03,1.00262876858622,"6,352",15,"202,241,810",-1.61,102,75.24,0.61455525606469,1.0030986816404
null,null,null,null,null,null,null,null,null,null,null,13,Project-K-13,0.57,0.57,0.57,0.41,0.42,0.41,0.41,1.03,0.41,0.41,0.41,0.11,1.00,1.00,1.00,1.02,1.00,1.01,0.91,0.89,1.03,1.00607902735562,"6,352",15,"202,241,810",0.15,102,75.37,0.532345013477089,0.9742713676492
null,null,null,null,null,null,null,null,null,null,null,14,Project-K-14,0.61,0.61,0.61,0.43,0.45,0.44,0.45,1.03,0.44,0.44,0.44,0.13,1.01,1.01,1.01,1.03,1.01,1.02,0.94,0.91,1.03,0.997946274542019,"6,352",15,"202,241,810",0.67,102,74.47,0.491913746630728,0.968293254776
null,null,null,null,null,null,null,null,null,null,null,15,Project-K-15,0.65,0.65,0.65,0.47,0.50,0.49,0.50,1.03,0.47,0.47,0.47,0.14,1.04,1.04,1.04,1.06,1.04,1.05,0.96,0.9,1.03,0.986609710013965,"6,352",15,"202,241,810",0.26,102,73.27,0.450134770889488,0.9597283445436
null,null,null,null,null,null,null,null,null,null,null,16,Project-K-16,0.69,0.69,0.69,0.51,0.55,0.53,0.54,1.03,0.49,0.49,0.49,0.15,1.05,1.05,1.05,1.11,1.09,1.10,0.99,0.89,1.03,0.985788219830773,"6,352",15,"202,241,810",1.31,102,73.17,0.409703504043127,0.939156016022
null,null,null,null,null,null,null,null,null,null,null,17,Project-K-17,0.73,0.73,0.73,0.55,0.57,0.56,0.56,1.03,0.53,0.53,0.53,0.17,1.02,1.02,1.02,1.07,1.05,1.06,0.93,0.87,1.03,0.989402776636819,"6,352",15,"202,241,810",1.34,102,73.55,0.367924528301887,0.9511699846996
null,null,null,null,null,null,null,null,null,null,null,18,Project-K-18,0.77,0.77,0.77,0.60,0.62,0.60,0.61,1.03,0.59,0.59,0.59,0.18,1.00,1.00,1.00,1.04,1.02,1.03,0.96,0.93,1.03,0.996960486322188,"6,352",15,"202,241,810",-0.32,102,74.34,0.326145552560647,0.9704809252732
null,null,null,null,null,null,null,null,null,null,null,19,Project-K-19,0.81,0.81,0.81,0.68,0.72,0.68,0.70,1.07,0.64,0.61,0.63,0.18,1.00,1.00,1.00,1.13,1.11,1.12,0.96,0.85,1.07,0.998110572578658,"6,352",15,"202,241,810",0.0299999999999998,102,74.34,0.285714285714286,1.00939681048
null,null,null,null,null,null,null,null,null,null,null,20,Project-K-20,0.86,0.86,0.86,0.76,0.80,0.75,0.77,1.07,0.71,0.68,0.69,0.19,0.99,0.99,0.99,1.13,1.11,1.12,0.96,0.85,1.07,0.995235356937485,"6,352",15,"202,241,810",0.38,102,73.98,0.243935309973046,1.0256898856388
null,null,null,null,null,null,null,null,null,null,null,21,Project-K-21,0.90,0.90,0.90,0.83,0.88,0.83,0.86,1.07,0.77,0.73,0.75,0.19,0.99,0.99,0.99,1.15,1.13,1.14,0.96,0.83,1.07,0.995563953010762,"6,352",15,"202,241,810",0.78,102,73.97,0.203504043126685,1.0285882235188
null,null,null,null,null,null,null,null,null,null,null,22,Project-K-22,0.94,0.94,0.94,0.87,0.94,0.88,0.91,1.07,0.80,0.76,0.78,0.20,1.01,1.01,1.01,1.18,1.15,1.17,0.99,0.84,1.07,0.999589254908404,"6,352",15,"202,241,810",-0.51,101.91,74.37,0.161725067385445,1.0153228886992
null,null,null,null,null,null,null,null,null,null,null,23,Project-K-23,0.98,0.98,0.98,0.91,0.97,0.91,0.94,1.07,0.82,0.78,0.80,0.20,1.00,1.00,1.00,1.19,1.17,1.18,1.04,0.87,1.07,1.00460034502588,"6,352",15,"202,241,810",-1.61,101.91,74.88,0.122641509433962,1.000709327588
null,null,null,null,null,null,null,null,null,null,null,24,Project-K-24,1.02,1.02,1.02,0.95,1.02,0.96,0.99,1.07,0.85,0.82,0.84,0.21,1.00,1.00,1.00,1.19,1.17,1.18,1.06,0.88,1.07,1.01593690955393,"6,352",15,"202,241,810",0.89,101.91,75.99,0.0822102425876011,0.9971240553496
null,null,null,null,null,null,null,null,null,null,null,25,Project-K-25,1.06,1.06,1.06,0.98,1.05,0.99,1.02,1.07,0.85,0.81,0.83,0.22,1.00,1.00,1.00,1.24,1.21,1.23,1.1,0.89,1.07,1.03532407787727,"6,352",15,"202,241,810",-0.77,102.6,78.02,0.0404312668463612,0.9587887667952
null,null,null,null,null,null,null,null,null,null,null,26,Project-K-26,1.10,1.10,1.10,1.00,1.07,1.00,1.03,1.07,0.92,0.88,0.90,0.24,1.00,1.00,1.00,1.17,1.14,1.16,1.03,0.89,1.07,1.06686930091185,"6,352",15,"202,241,810",0.97,102.6,81.26,0,0.9979726089996
null,null,null,null,null,null,null,null,null,null,null,27,Project-K-27,1.14,1.14,1.14,1.00,1.07,1.00,1.03,1.07,0.93,0.89,0.91,0.25,1.00,1.00,1.00,1.15,1.13,1.14,1.03,0.89,1.07,1.07590569292697,"6,352",15,"202,241,810",-0.2,102.6,82.11,null,0.99204302648
null,null,null,null,null,null,null,null,null,null,null,28,Project-K-28,1.18,1.18,1.18,1.00,1.07,1.00,1.03,1.07,0.95,0.91,0.93,0.26,1.00,1.00,1.00,1.13,1.10,1.12,1.03,0.91,1.07,1.07976669678797,"6,352",15,"202,241,810",1.42,110.71,82.47,null,1.0139151192536
null,null,null,null,null,null,null,null,null,null,null,29,Project-K-29,1.22,1.22,1.22,1.00,1.03,1.00,1.02,1.03,0.96,0.95,0.95,0.27,1.00,1.00,1.00,1.08,1.06,1.07,1.03,0.95,1.03,1.07960239875133,"6,352",15,"202,241,810",2.34,110.71,82.37,null,0.9804282153952
null,null,null,null,null,null,null,null,null,null,null,30,Project-K-30,1.27,1.27,1.27,1.00,1.03,1.00,1.02,1.03,0.96,0.95,0.96,0.28,1.00,1.00,1.00,1.07,1.05,1.06,1.05,0.97,1.03,1.08412059475889,"6,352",15,"202,241,810",0.69,110.71,82.83,null,0.9841673323076
null,null,null,null,null,null,null,null,null,null,null,31,Project-K-31,1.31,1.31,1.31,1.00,1.04,1.00,1.02,1.04,0.99,0.95,0.97,0.29,1.00,1.00,1.00,1.08,1.05,1.07,1.08,1,1.04,1.0965250965251,"6,352",15,"202,241,810",0.75,85.05,83.57,null,1.0198952617368
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
I,"7,289",2,8,10,1,2005-06-15,2006-09-15,457,"190,844,707",20,1,Project-N-1,0.08,0.08,0.08,0.03,0.02,0.02,0.02,1.00,0.00,0.00,0.00,0.02,0.67,0.67,0.67,1.00,1.00,1.00,0,0,1,0.999167360532889,"7,289",10,"190,844,707",1.31,102,73.17,1.08239700374532,0.86885089489
null,null,null,null,null,null,null,null,null,null,null,2,Project-N-2,0.14,0.14,0.14,0.10,0.10,0.10,0.10,1.00,0.01,0.01,0.01,0.04,0.96,0.96,0.96,1.00,1.00,1.00,0,0,1,1.00283097418818,"7,289",10,"190,844,707",1.34,102,73.55,1.02434456928839,0.8668477352196
null,null,null,null,null,null,null,null,null,null,null,3,Project-N-3,0.20,0.20,0.20,0.16,0.14,0.14,0.14,1.00,0.03,0.03,0.03,0.05,0.93,0.93,0.93,1.00,1.00,1.00,1,0.62,1,1.0104912572856,"7,289",10,"190,844,707",-0.32,102,74.34,0.966292134831461,0.865426009788
null,null,null,null,null,null,null,null,null,null,null,4,Project-N-4,0.26,0.26,0.26,0.26,0.25,0.25,0.25,1.00,0.13,0.13,0.13,0.06,0.96,0.96,0.96,1.98,1.98,1.98,1.58,0.8,1,1.01165695253955,"7,289",10,"190,844,707",0.0299999999999998,102,74.34,0.910112359550562,0.8089545764868
null,null,null,null,null,null,null,null,null,null,null,5,Project-N-5,0.31,0.31,0.31,0.28,0.28,0.28,0.28,1.00,0.18,0.18,0.18,0.06,0.99,0.99,0.99,1.60,1.60,1.60,1.35,0.85,1,1.00874271440466,"7,289",10,"190,844,707",0.38,102,73.98,0.852059925093633,0.8352769104036
null,null,null,null,null,null,null,null,null,null,null,6,Project-N-6,0.37,0.37,0.37,0.34,0.34,0.34,0.34,1.00,0.24,0.24,0.24,0.07,0.98,0.98,0.98,1.39,1.39,1.39,1.16,0.83,1,1.00907577019151,"7,289",10,"190,844,707",0.78,102,73.97,0.795880149812734,0.8599869780148
null,null,null,null,null,null,null,null,null,null,null,7,Project-N-7,0.43,0.43,0.43,0.40,0.39,0.39,0.39,1.00,0.29,0.29,0.29,0.08,0.99,0.99,0.99,1.35,1.35,1.35,1.19,0.88,1,1.01315570358035,"7,289",10,"190,844,707",-0.51,101.91,74.37,0.737827715355805,0.8470243910252
null,null,null,null,null,null,null,null,null,null,null,8,Project-N-8,0.48,0.48,0.48,0.44,0.44,0.44,0.44,1.00,0.37,0.37,0.37,0.08,0.99,0.99,0.99,1.19,1.19,1.19,1.09,0.92,1,1.01823480432973,"7,289",10,"190,844,707",-1.61,101.91,74.88,0.683520599250936,0.9132467483036
null,null,null,null,null,null,null,null,null,null,null,9,Project-N-9,0.54,0.54,0.54,0.49,0.49,0.49,0.49,1.00,0.43,0.43,0.43,0.10,0.99,0.99,0.99,1.14,1.14,1.14,1.09,0.96,1,1.02972522897585,"7,289",10,"190,844,707",0.89,101.91,75.99,0.627340823970037,0.9400772561172
null,null,null,null,null,null,null,null,null,null,null,10,Project-N-10,0.60,0.60,0.60,0.57,0.55,0.55,0.55,1.00,0.47,0.47,0.47,0.12,0.98,0.98,0.98,1.19,1.19,1.19,1.1,0.92,1,1.04937552039967,"7,289",10,"190,844,707",-0.77,102.6,78.02,0.569288389513109,0.9212562442052
null,null,null,null,null,null,null,null,null,null,null,11,Project-N-11,0.65,0.65,0.65,0.62,0.61,0.60,0.61,1.03,0.52,0.51,0.51,0.13,0.96,0.96,0.96,1.19,1.19,1.19,1.06,0.9,1.03,1.08134887593672,"7,289",10,"190,844,707",0.97,102.6,81.26,0.51310861423221,0.9554422944948
null,null,null,null,null,null,null,null,null,null,null,12,Project-N-12,0.71,0.71,0.71,0.67,0.66,0.65,0.65,1.03,0.57,0.55,0.56,0.16,0.96,0.96,0.96,1.17,1.17,1.17,1.05,0.9,1.03,1.09050791007494,"7,289",10,"190,844,707",-0.2,102.6,82.11,0.455056179775281,0.9546792867004
null,null,null,null,null,null,null,null,null,null,null,13,Project-N-13,0.77,0.77,0.77,0.72,0.70,0.68,0.69,1.03,0.62,0.60,0.61,0.17,0.95,0.95,0.95,1.13,1.13,1.13,0.96,0.85,1.03,1.09442131557036,"7,289",10,"190,844,707",1.42,110.71,82.47,0.398876404494382,0.9639317713048
null,null,null,null,null,null,null,null,null,null,null,14,Project-N-14,0.83,0.83,0.83,0.75,0.73,0.71,0.72,1.03,0.66,0.64,0.65,0.18,0.94,0.94,0.94,1.11,1.11,1.11,1.01,0.91,1.03,1.09425478767694,"7,289",10,"190,844,707",2.34,110.71,82.37,0.340823970037453,0.9627435127444
null,null,null,null,null,null,null,null,null,null,null,15,Project-N-15,0.88,0.88,0.88,0.78,0.75,0.73,0.74,1.03,0.72,0.70,0.71,0.20,0.94,0.94,0.94,1.05,1.05,1.05,0.99,0.94,1.03,1.09883430474604,"7,289",10,"190,844,707",0.69,110.71,82.83,0.282771535580524,0.9818751137124
null,null,null,null,null,null,null,null,null,null,null,16,Project-N-16,0.94,0.94,0.94,0.94,0.81,0.90,0.86,0.91,0.75,0.83,0.79,0.20,0.96,0.96,0.96,1.08,1.08,1.08,1,0.93,0.91,1.11140716069942,"7,289",10,"190,844,707",0.75,85.05,83.57,0.226591760299625,0.895309478854
null,null,null,null,null,null,null,null,null,null,null,17,Project-N-17,1.00,1.00,1.00,0.98,0.85,0.94,0.89,0.91,0.78,0.86,0.82,0.22,0.96,0.96,0.96,1.09,1.09,1.09,0.96,0.89,0.91,1.11223980016653,"7,289",10,"190,844,707",-0.21,85.05,84,0.168539325842697,0.881206218052
null,null,null,null,null,null,null,null,null,null,null,18,Project-N-18,1.05,1.05,1.05,1.00,0.89,0.97,0.93,0.92,0.81,0.88,0.85,0.23,0.97,0.97,0.97,1.10,1.10,1.10,0.93,0.85,0.92,1.11665278934221,"7,289",10,"190,844,707",0.67,85.05,84.15,0.112359550561798,0.8626949291312
null,null,null,null,null,null,null,null,null,null,null,19,Project-N-19,1.11,1.11,1.11,1.00,0.91,0.99,0.95,0.92,0.84,0.91,0.87,0.24,0.99,0.99,0.99,1.08,1.08,1.08,0.97,0.9,0.92,1.11665278934221,"7,289",10,"190,844,707",-0.29,101.71,84.6,0.0543071161048689,0.8523703259486
null,null,null,null,null,null,null,null,null,null,null,20,Project-N-20,1.17,1.17,1.17,1.00,0.90,1.00,0.95,0.90,0.84,0.94,0.89,0.25,1.00,1.00,1.00,1.07,1.07,1.07,1.07,1,0.9,1.12764363030808,"7,289",10,"190,844,707",-1.58,101.71,85.79,0,0.84848003367776
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
J,"3,094",2,7,9,1,2005-10-01,2007-02-28,515,"102,500,000",15,1,Project-O-3,0.17,0.17,0.17,0.12,0.19,0.19,0.19,1.00,0.09,0.09,0.09,0.02,1.62,1.62,1.62,2.11,2.11,2.11,1.46,0.69,1,0.997448559670782,"3,094",9,"102,500,000",0.78,102,73.97,0.94368932038835,0.837889396234
null,null,null,null,null,null,null,null,null,null,null,2,Project-O-4,0.24,0.23,0.23,0.19,0.27,0.27,0.27,1.00,0.18,0.18,0.18,0.03,1.39,1.39,1.39,1.50,1.50,1.50,1.19,0.79,1,1.00148148148148,"3,094",9,"102,500,000",-0.51,101.91,74.37,0.883495145631068,0.8658638492116
null,null,null,null,null,null,null,null,null,null,null,3,Project-O-5,0.29,0.29,0.29,0.22,0.30,0.30,0.30,1.00,0.22,0.22,0.22,0.03,1.35,1.35,1.35,1.34,1.34,1.34,1.29,0.96,1,1.00650205761317,"3,094",9,"102,500,000",-1.61,101.91,74.88,0.827184466019418,0.869506463888
null,null,null,null,null,null,null,null,null,null,null,4,Project-O-6,0.35,0.35,0.35,0.26,0.35,0.35,0.35,1.00,0.26,0.26,0.26,0.05,1.33,1.33,1.33,1.32,1.32,1.32,1.33,1.01,1,1.01786008230453,"3,094",9,"102,500,000",0.89,101.91,75.99,0.768932038834951,0.8550450739284
null,null,null,null,null,null,null,null,null,null,null,5,Project-O-7,0.41,0.41,0.41,0.30,0.39,0.39,0.39,1.00,0.23,0.23,0.23,0.07,1.33,1.33,1.33,1.74,1.74,1.74,1.73,0.99,1,1.03728395061728,"3,094",9,"102,500,000",-0.77,102.6,78.02,0.70873786407767,0.757716516796
null,null,null,null,null,null,null,null,null,null,null,6,Project-O-8,0.47,0.47,0.47,0.35,0.44,0.44,0.44,1.00,0.36,0.36,0.36,0.09,1.26,1.26,1.26,1.22,1.22,1.22,1.18,0.97,1,1.06888888888889,"3,094",9,"102,500,000",0.97,102.6,81.26,0.650485436893204,0.8982515155
null,null,null,null,null,null,null,null,null,null,null,7,Project-O-9,0.53,0.53,0.53,0.40,0.49,0.49,0.49,1.00,0.40,0.40,0.40,0.11,1.23,1.23,1.23,1.23,1.23,1.23,1.07,0.87,1,1.07794238683128,"3,094",9,"102,500,000",-0.2,102.6,82.11,0.590291262135922,0.91861175582
null,null,null,null,null,null,null,null,null,null,null,8,Project-O-10,0.59,0.59,0.59,0.46,0.55,0.55,0.55,1.00,0.45,0.45,0.45,0.13,1.19,1.19,1.19,1.24,1.24,1.24,1.05,0.85,1,1.08181069958848,"3,094",9,"102,500,000",1.42,110.71,82.47,0.532038834951456,0.9119668888936
null,null,null,null,null,null,null,null,null,null,null,9,Project-O-11,0.65,0.65,0.65,0.55,0.59,0.59,0.59,1.00,0.49,0.49,0.49,0.14,1.08,1.08,1.08,1.21,1.21,1.21,1.03,0.85,1,1.08164609053498,"3,094",9,"102,500,000",2.34,110.71,82.37,0.471844660194175,0.9078760804924
null,null,null,null,null,null,null,null,null,null,null,10,Project-O-12,0.71,0.71,0.71,0.64,0.65,0.65,0.65,1.00,0.52,0.52,0.52,0.16,1.03,1.03,1.03,1.26,1.26,1.26,1.06,0.84,1,1.08617283950617,"3,094",9,"102,500,000",0.69,110.71,82.83,0.411650485436893,0.8782822320932
null,null,null,null,null,null,null,null,null,null,null,11,Project-O-13,0.77,0.77,0.77,0.71,0.74,0.74,0.74,1.00,0.63,0.63,0.63,0.16,1.05,1.05,1.05,1.18,1.18,1.18,1.11,0.94,1,1.09860082304527,"3,094",9,"102,500,000",0.75,85.05,83.57,0.353398058252427,0.9198504688732
null,null,null,null,null,null,null,null,null,null,null,12,Project-O-15,0.88,0.88,0.88,0.91,0.87,0.87,0.87,1.00,0.73,0.73,0.73,0.17,0.95,0.95,0.95,1.18,1.18,1.18,1.02,0.86,1,1.10378600823045,"3,094",9,"102,500,000",0.67,85.05,84.15,0.23495145631068,0.9188865277284
null,null,null,null,null,null,null,null,null,null,null,13,Project-O-17,1.00,1.00,1.00,0.98,0.98,0.98,0.98,1.00,0.78,0.78,0.78,0.18,1.00,1.00,1.00,1.26,1.26,1.26,1.1,0.87,1,1.11465020576132,"3,094",9,"102,500,000",-1.58,101.71,85.79,0.118446601941748,0.855911410262
null,null,null,null,null,null,null,null,null,null,null,14,Project-O-18,1.06,1.06,1.06,0.99,1.00,1.00,1.00,1.00,0.84,0.84,0.84,0.20,1.00,1.00,1.00,1.18,1.18,1.18,1.08,0.92,1,1.13399176954733,"3,094",9,"102,500,000",-0.44,101.71,87.88,0.0601941747572816,0.8850653496616
